user_id,number,frequency,est_i,estimation
30539360,five,3,1,30
30539360,eight,2,1,80
30539360,three,5,1,40
30539360,thirteen,8,1,35
30539360,eleven,9,1,45
30539360,six,12,1,40
30539360,nine,10,2,40
30539360,one,7,2,50
30539360,four,4,2,85
30539360,twelve,6,1,50
30539360,two,11,1,50
30539360,ten,13,2,50
30539360,seven,1,1,50
14037841,thirteen,11,1,65
14037841,twelve,10,2,70
14037841,three,12,1,55
14037841,eleven,13,2,85
14037841,six,3,1,35
14037841,eight,1,1,65
14037841,two,8,1,65
14037841,four,4,2,85
14037841,seven,5,1,30
14037841,five,7,2,40
14037841,nine,6,1,70
14037841,ten,9,1,50
14037841,one,2,1,90
65006667,thirteen,3,1,40
65006667,two,1,1,50
65006667,four,5,1,37
65006667,twelve,9,1,38
65006667,eleven,4,2,60
65006667,eight,8,1,40
65006667,ten,2,1,70
65006667,three,7,2,38
65006667,six,10,2,60
65006667,one,11,1,46
65006667,five,13,2,45
65006667,seven,6,1,55
65006667,nine,12,1,52
18238743,thirteen,2,1,71
18238743,three,1,1,60
18238743,eight,11,1,64
18238743,one,3,1,30
18238743,two,12,1,76
18238743,six,5,1,25
18238743,eleven,9,1,55
18238743,four,13,2,25
18238743,seven,10,2,20
18238743,twelve,8,1,30
18238743,nine,6,1,70
18238743,five,4,2,60
18238743,ten,7,2,65
18118774,nine,1,1,20
18118774,five,12,1,28
18118774,thirteen,8,1,12
18118774,seven,6,1,26
18118774,four,5,1,4
18118774,twelve,13,2,32
18118774,three,4,2,55
18118774,six,9,1,45
18118774,eight,11,1,32
18118774,ten,2,1,54
18118774,one,3,1,26
18118774,eleven,10,2,16
18118774,two,7,2,18
20520697,seven,5,1,10
20520697,thirteen,9,1,43
20520697,six,1,1,38
20520697,eight,6,1,53
20520697,twelve,8,1,43
20520697,three,2,1,77
20520697,nine,10,2,54
20520697,four,13,2,45
20520697,two,4,2,68
20520697,eleven,3,1,32
20520697,ten,7,2,37
20520697,one,11,1,41
20520697,five,12,1,42
62643214,ten,3,1,78
62643214,five,7,2,70
62643214,nine,12,1,60
62643214,eight,11,1,60
62643214,twelve,9,1,80
62643214,two,6,1,75
62643214,thirteen,1,1,60
62643214,seven,4,2,80
62643214,one,13,2,75
62643214,three,8,1,70
62643214,four,5,1,70
62643214,six,2,1,85
62643214,eleven,10,2,40
89391361,twelve,8,1,5
89391361,eight,10,2,13
89391361,five,11,1,25
89391361,two,7,2,5
89391361,four,1,1,25
89391361,thirteen,12,1,15
89391361,eleven,3,1,10
89391361,six,5,1,5
89391361,nine,9,1,25
89391361,seven,2,1,55
89391361,ten,4,2,45
89391361,one,6,1,35
89391361,three,13,2,25
14454473,ten,13,2,60
14454473,two,3,1,35
14454473,twelve,5,1,30
14454473,thirteen,1,1,50
14454473,four,8,1,50
14454473,nine,4,2,65
14454473,five,7,2,35
14454473,eight,9,1,50
14454473,one,6,1,60
14454473,six,12,1,50
14454473,eleven,2,1,75
14454473,seven,10,2,50
14454473,three,11,1,50
20790611,six,13,2,5
20790611,four,6,1,10
20790611,twelve,3,1,15
20790611,two,4,2,30
20790611,eleven,10,2,5
20790611,ten,8,1,3
20790611,eight,9,1,10
20790611,five,12,1,2
20790611,three,11,1,10
20790611,thirteen,2,1,35
20790611,seven,1,1,10
20790611,one,7,2,5
20790611,nine,5,1,3
54501577,eleven,1,1,1
54501577,ten,9,1,5
54501577,eight,7,2,5
54501577,three,10,2,30
54501577,thirteen,6,1,40
54501577,seven,8,1,5
54501577,five,12,1,25
54501577,nine,13,2,30
54501577,one,4,2,40
54501577,twelve,3,1,5
54501577,two,5,1,5
54501577,four,11,1,10
54501577,six,2,1,60
00655373,two,2,1,41
00655373,one,8,1,23
00655373,nine,1,1,44
00655373,eleven,12,1,53
00655373,five,13,2,55
00655373,eight,9,1,60
00655373,six,6,1,65
00655373,twelve,7,2,45
00655373,four,5,1,35
00655373,thirteen,11,1,48
00655373,ten,4,2,56
00655373,three,3,1,34
00655373,seven,10,2,32
01800974,one,4,2,60
01800974,four,6,1,50
01800974,three,5,1,40
01800974,eleven,3,1,10
01800974,nine,13,2,40
01800974,eight,1,1,50
01800974,twelve,11,1,45
01800974,seven,12,1,10
01800974,two,10,2,5
01800974,thirteen,2,1,50
01800974,five,7,2,30
01800974,six,9,1,50
01800974,ten,8,1,5
87756055,eight,6,1,60
87756055,thirteen,3,1,45
87756055,ten,13,2,50
87756055,seven,2,1,85
87756055,three,10,2,45
87756055,four,11,1,65
87756055,nine,7,2,40
87756055,eleven,4,2,80
87756055,one,8,1,41
87756055,two,12,1,50
87756055,twelve,9,1,50
87756055,six,1,1,55
87756055,five,5,1,35
42742108,seven,9,1,54
42742108,nine,10,2,39
42742108,two,3,1,25
42742108,eleven,4,2,54
42742108,ten,1,1,52
42742108,twelve,11,1,47
42742108,four,2,1,80
42742108,one,12,1,48
42742108,six,7,2,39
42742108,five,5,1,35
42742108,thirteen,8,1,50
42742108,eight,13,2,50
42742108,three,6,1,59
27756055,thirteen,7,2,40
27756055,twelve,5,1,10
27756055,six,2,1,80
27756055,two,6,1,60
27756055,four,12,1,45
27756055,three,1,1,65
27756055,eleven,3,1,40
27756055,nine,9,1,55
27756055,one,4,2,65
27756055,seven,13,2,40
27756055,ten,11,1,30
27756055,eight,8,1,40
27756055,five,10,2,20
89130009,four,4,2,80
89130009,one,1,1,50
89130009,twelve,5,1,30
89130009,thirteen,3,1,40
89130009,ten,8,1,60
89130009,eight,7,2,40
89130009,three,10,2,50
89130009,eleven,13,2,50
89130009,two,11,1,50
89130009,five,2,1,80
89130009,seven,12,1,50
89130009,nine,9,1,50
89130009,six,6,1,60
63803678,eleven,10,2,35
63803678,one,6,1,45
63803678,seven,4,2,50
63803678,six,7,2,40
63803678,eight,13,2,50
63803678,five,1,1,50
63803678,thirteen,3,1,45
63803678,nine,9,1,55
63803678,four,11,1,40
63803678,three,8,1,40
63803678,ten,12,1,50
63803678,two,2,1,70
63803678,twelve,5,1,40
49315159,twelve,9,1,67
49315159,nine,8,1,37
49315159,three,10,2,44
49315159,thirteen,12,1,18
49315159,one,2,1,78
49315159,seven,7,2,28
49315159,ten,5,1,16
49315159,eight,11,1,17
49315159,two,13,2,28
49315159,six,6,1,33
49315159,five,3,1,15
49315159,eleven,1,1,20
49315159,four,4,2,77
56756735,seven,12,1,28
56756735,five,9,1,66
56756735,ten,11,1,60
56756735,nine,4,2,72
56756735,two,6,1,28
56756735,one,3,1,13
56756735,six,13,2,53
56756735,four,1,1,36
56756735,thirteen,10,2,39
56756735,three,5,1,68
56756735,eleven,2,1,73
56756735,twelve,7,2,31
56756735,eight,8,1,9
35930225,seven,9,1,60
35930225,nine,8,1,65
35930225,ten,5,1,40
35930225,eight,6,1,60
35930225,two,2,1,80
35930225,four,1,1,45
35930225,five,3,1,40
35930225,one,11,1,40
35930225,eleven,4,2,75
35930225,twelve,13,2,36
35930225,six,12,1,45
35930225,thirteen,7,2,33
35930225,three,10,2,40
43309182,twelve,9,1,35
43309182,five,6,1,42
43309182,six,11,1,47
43309182,thirteen,5,1,15
43309182,two,7,2,25
43309182,seven,3,1,22
43309182,three,4,2,57
43309182,eleven,12,1,38
43309182,eight,1,1,32
43309182,one,8,1,40
43309182,ten,13,2,41
43309182,four,2,1,62
43309182,nine,10,2,40
82479967,four,2,1,20
82479967,nine,3,1,87
82479967,twelve,1,1,42
82479967,seven,13,2,60
82479967,ten,6,1,49
82479967,five,9,1,19
82479967,one,10,2,61
82479967,eight,8,1,67
82479967,six,11,1,48
82479967,two,12,1,56
82479967,three,4,2,66
82479967,thirteen,5,1,33
82479967,eleven,7,2,57
96909577,two,3,1,40
96909577,thirteen,4,2,60
96909577,six,2,1,25
96909577,four,10,2,50
96909577,nine,8,1,50
96909577,eight,7,2,70
96909577,twelve,11,1,60
96909577,seven,1,1,40
96909577,five,13,2,40
96909577,one,6,1,70
96909577,eleven,5,1,40
96909577,three,9,1,60
96909577,ten,12,1,70
52933167,thirteen,12,1,70
52933167,seven,10,2,60
52933167,two,3,1,60
52933167,ten,7,2,70
