user_id,number,frequency,est_i,estimation
63114399,eight,2,1,60
63114399,ten,11,0,80
63114399,seven,5,1,40
63114399,eleven,1,0,10
63114399,three,8,1,70
63114399,four,3,1,60
63114399,two,10,1,60
63114399,five,6,1,40
63114399,nine,7,1,80
63114399,one,9,1,80
63114399,six,4,1,30
63478253,eight,6,1,40
63478253,eleven,5,1,57
63478253,seven,11,0,100
63478253,four,9,1,87
63478253,six,4,1,14
63478253,nine,8,1,51
63478253,two,3,1,74
63478253,three,2,1,40
63478253,ten,1,0,2
63478253,one,10,1,47
63478253,five,7,1,100
05277108,one,2,1,5
05277108,six,3,1,1
05277108,nine,8,1,7
05277108,two,6,1,10
05277108,eight,10,1,15
05277108,seven,1,0,1
05277108,three,5,1,10
05277108,five,7,1,20
05277108,four,11,0,100
05277108,eleven,9,1,30
05277108,ten,4,1,5
15803126,nine,7,1,30
15803126,ten,10,1,75
15803126,eight,4,1,20
15803126,three,8,1,40
15803126,eleven,5,1,35
15803126,two,2,1,50
15803126,six,3,1,50
15803126,one,9,1,40
15803126,five,11,0,85
15803126,seven,6,1,45
15803126,four,1,0,5
72031857,six,6,1,15
72031857,eleven,2,1,7
72031857,nine,1,0,0
72031857,two,11,0,95
72031857,three,5,1,12
72031857,eight,3,1,10
72031857,one,9,1,26
72031857,seven,7,1,75
72031857,four,4,1,12
72031857,ten,10,1,29
72031857,five,8,1,33
79752518,one,2,1,65
79752518,ten,8,1,71
79752518,seven,1,0,35
79752518,five,3,1,55
79752518,two,6,1,56
79752518,three,7,1,59
79752518,six,11,0,61
79752518,eleven,5,1,60
79752518,four,4,1,70
79752518,eight,9,1,25
79752518,nine,10,1,32
06704047,five,5,1,41
06704047,four,8,1,62
06704047,eight,9,1,61
06704047,ten,7,1,37
06704047,one,4,1,11
06704047,three,2,1,15
06704047,seven,6,1,52
06704047,six,10,1,52
06704047,eleven,3,1,64
06704047,two,11,0,93
06704047,nine,1,0,31
67445159,three,11,0,95
67445159,ten,1,0,30
67445159,four,5,1,20
67445159,nine,4,1,10
67445159,two,7,1,15
67445159,seven,9,1,35
67445159,eight,3,1,15
67445159,eleven,8,1,40
67445159,six,2,1,10
67445159,five,10,1,40
67445159,one,6,1,40
16319507,six,7,1,40
16319507,three,10,1,55
16319507,four,2,1,25
16319507,eleven,8,1,70
16319507,nine,11,0,80
16319507,seven,6,1,35
16319507,two,3,1,60
16319507,ten,4,1,15
16319507,five,9,1,85
16319507,one,5,1,60
16319507,eight,1,0,15
13896772,nine,8,1,55
13896772,ten,9,1,65
13896772,eleven,5,1,53
13896772,two,6,1,30
13896772,four,10,1,45
13896772,eight,11,0,65
13896772,one,4,1,20
13896772,five,7,1,20
13896772,six,2,1,30
13896772,three,1,0,10
13896772,seven,3,1,55
64247976,five,11,0,100
64247976,eleven,4,1,22
64247976,one,6,1,36
64247976,seven,2,1,24
64247976,six,1,0,0
64247976,four,5,1,24
64247976,ten,10,1,57
64247976,two,7,1,25
64247976,eight,9,1,36
64247976,nine,3,1,11
64247976,three,8,1,47
11917755,eight,4,1,10
11917755,one,10,1,79
11917755,five,9,1,47
11917755,nine,3,1,14
11917755,ten,6,1,3
11917755,four,1,0,0
11917755,eleven,8,1,64
11917755,three,2,1,3
11917755,six,5,1,14
11917755,two,7,1,10
11917755,seven,11,0,96
72507506,three,9,1,10
72507506,eleven,3,1,50
72507506,one,11,0,90
72507506,six,6,1,20
72507506,eight,7,1,75
72507506,four,5,1,20
72507506,seven,10,1,50
72507506,nine,8,1,70
72507506,two,1,0,5
72507506,five,2,1,0
72507506,ten,4,1,0
29793125,four,4,1,31
29793125,three,1,0,10
29793125,ten,10,1,55
29793125,one,5,1,50
29793125,two,11,0,100
29793125,eleven,2,1,33
29793125,eight,7,1,100
29793125,seven,8,1,68
29793125,nine,9,1,89
