,a,b,c,d,rating,N
1,21,9,0,30,67,60
2,24,6,10,20,57,60
3,27,3,20,10,51,60
4,28,0,0,28,88,56
5,28,0,7,21,78,56
6,28,0,14,14,72,56
7,28,0,21,7,69,56
8,30,0,18,12,64,60
9,24,6,12,18,62,60
10,12,18,0,30,44,60
11,27,3,25,5,54,60
