user_id,animal,frequency,est_i,estimation
97055964,mouse,1,0,62
97055964,mouse,1,1,84
97055964,mouse,1,2,68
97055964,mouse,1,3,100
97055964,mouse,1,4,73
97055964,mouse,1,5,73
97055964,pigeon,2,0,34
97055964,pigeon,2,1,92
97055964,pigeon,2,2,69
97055964,pigeon,2,3,80
97055964,pigeon,2,4,70
97055964,pigeon,2,5,73
97055964,rabbit,3,0,36
97055964,rabbit,3,1,28
97055964,rabbit,3,2,40
97055964,rabbit,3,3,64
97055964,rabbit,3,4,84
97055964,rabbit,3,5,73
18545841,pigeon,3,0,26
18545841,pigeon,3,1,42
18545841,pigeon,3,2,47
18545841,pigeon,3,3,15
18545841,pigeon,3,4,24
18545841,pigeon,3,5,37
18545841,mouse,1,0,28
18545841,mouse,1,1,42
18545841,mouse,1,2,28
18545841,mouse,1,3,30
18545841,mouse,1,4,30
18545841,mouse,1,5,40
18545841,rabbit,2,0,0
18545841,rabbit,2,1,12
18545841,rabbit,2,2,24
18545841,rabbit,2,3,31
18545841,rabbit,2,4,0
18545841,rabbit,2,5,45
41333576,rabbit,3,0,100
41333576,rabbit,3,1,80
41333576,rabbit,3,2,90
41333576,rabbit,3,3,100
41333576,rabbit,3,4,80
41333576,rabbit,3,5,90
41333576,pigeon,1,0,90
41333576,pigeon,1,1,90
41333576,pigeon,1,2,70
41333576,pigeon,1,3,60
41333576,pigeon,1,4,40
41333576,pigeon,1,5,80
41333576,mouse,2,0,70
41333576,mouse,2,1,80
41333576,mouse,2,2,70
41333576,mouse,2,3,70
41333576,mouse,2,4,80
41333576,mouse,2,5,80
63785272,rabbit,3,0,65
63785272,rabbit,3,1,65
63785272,rabbit,3,2,70
63785272,rabbit,3,3,55
63785272,rabbit,3,4,52
63785272,rabbit,3,5,48
63785272,mouse,1,0,51
63785272,mouse,1,1,52
63785272,mouse,1,2,53
63785272,mouse,1,3,58
63785272,mouse,1,4,18
63785272,mouse,1,5,25
63785272,pigeon,2,0,55
63785272,pigeon,2,1,53
63785272,pigeon,2,2,45
63785272,pigeon,2,3,51
63785272,pigeon,2,4,80
63785272,pigeon,2,5,48
43789576,rabbit,3,0,61
43789576,rabbit,3,1,54
43789576,rabbit,3,2,61
43789576,rabbit,3,3,70
43789576,rabbit,3,4,60
43789576,rabbit,3,5,60
43789576,pigeon,1,0,65
43789576,pigeon,1,1,39
43789576,pigeon,1,2,39
43789576,pigeon,1,3,32
43789576,pigeon,1,4,31
43789576,pigeon,1,5,43
43789576,mouse,2,0,25
43789576,mouse,2,1,59
43789576,mouse,2,2,53
43789576,mouse,2,3,54
43789576,mouse,2,4,54
43789576,mouse,2,5,53
98791323,rabbit,3,0,57
98791323,rabbit,3,1,73
98791323,rabbit,3,2,88
98791323,rabbit,3,3,90
98791323,rabbit,3,4,100
98791323,rabbit,3,5,100
98791323,pigeon,2,0,80
98791323,pigeon,2,1,70
98791323,pigeon,2,2,66
98791323,pigeon,2,3,70
98791323,pigeon,2,4,60
98791323,pigeon,2,5,50
98791323,mouse,1,0,70
98791323,mouse,1,1,60
98791323,mouse,1,2,70
98791323,mouse,1,3,50
98791323,mouse,1,4,76
98791323,mouse,1,5,60
24265704,rabbit,1,0,83
24265704,rabbit,1,1,66
24265704,rabbit,1,2,72
24265704,rabbit,1,3,93
24265704,rabbit,1,4,56
24265704,rabbit,1,5,66
24265704,pigeon,2,0,73
24265704,pigeon,2,1,93
24265704,pigeon,2,2,60
24265704,pigeon,2,3,51
24265704,pigeon,2,4,59
24265704,pigeon,2,5,63
24265704,mouse,3,0,57
24265704,mouse,3,1,50
24265704,mouse,3,2,54
24265704,mouse,3,3,83
24265704,mouse,3,4,69
24265704,mouse,3,5,70
99872722,pigeon,3,0,70
99872722,pigeon,3,1,50
99872722,pigeon,3,2,25
99872722,pigeon,3,3,20
99872722,pigeon,3,4,55
99872722,pigeon,3,5,50
